Type,pax_1995
35,85
79,922
405,3606979
408,638924
441,4392393
442,4135833
449,604103
456,1780272
461,4201918
467,451025
469,852336
471,636270
483,1495496
484,332646
489,660034
550,49249
556,0
601,0
602,2676096
603,14463960
604,182957
616,20116703
617,13542970
619,91133897
620,50404601
621,4055992
622,58134156
625,7390402
626,8670978
627,1059212
630,2898894
635,133173
640,30488347
645,1758861
650,10616196
654,164575
655,89869184
656,2304343
681,0
690,628103
691,3903244
694,14926262
710,127
711,39338
715,59844847
730,9038514
732,2660998
733,3030176
735,0
740,495117
760,10821895
765,1181014
809,0
816,2831054
817,407431
819,163771
820,0
850,0
851,0
852,0
854,460
856,141
860,0
865,0
866,20011
867,783254
868,1821290
All Rows,546501029
