year,description,pax_count
1990,Boeing 727-200/231A,94272153.0
1990,McDonnell Douglas DC9 Super 80/MD81/82/83/88,59948179.0
1990,Boeing 737-300,56432274.0
1990,Boeing 737-100/200,50398565.0
1990,McDonnell Douglas DC-9-30,38933219.0
1990,Boeing 757-200,25258696.0
1990,McDonnell Douglas DC-10-10,19337292.0
1990,Lockheed L-1011-1/100/200,11139255.0
1990,Boeing 727-100,10262572.0
1990,McDonnell Douglas DC-9-50,9986159.0
1991,Boeing 727-200/231A,81248455.0
1991,McDonnell Douglas DC9 Super 80/MD81/82/83/88,65892234.0
1991,Boeing 737-300,58666232.0
1991,Boeing 737-100/200,48136649.0
1991,McDonnell Douglas DC-9-30,31338382.0
1991,Boeing 757-200,30293980.0
1991,McDonnell Douglas DC-10-10,18779034.0
1991,Lockheed L-1011-1/100/200,10157578.0
1991,Boeing 737-400,8506964.0
1991,McDonnell Douglas DC-9-50,7359075.0
1992,Boeing 727-200/231A,77838421.0
1992,McDonnell Douglas DC9 Super 80/MD81/82/83/88,75750093.0
1992,Boeing 737-300,58827415.0
1992,Boeing 737-100/200,46099426.0
1992,Boeing 757-200,36131411.0
1992,McDonnell Douglas DC-9-30,26379830.0
1992,McDonnell Douglas DC-10-10,18806161.0
1992,Lockheed L-1011-1/100/200,12040859.0
1992,Boeing 737-500,10444046.0
1992,Boeing 737-400,9645313.0
1993,McDonnell Douglas DC9 Super 80/MD81/82/83/88,77372833.0
1993,Boeing 727-200/231A,68608559.0
1993,Boeing 737-300,65563568.0
1993,Boeing 737-100/200,44774686.0
1993,Boeing 757-200,44140992.0
1993,McDonnell Douglas DC-9-30,24180508.0
1993,McDonnell Douglas DC-10-10,15733510.0
1993,Boeing 737-500,13720947.0
1993,Boeing 737-400,11529530.0
1993,Lockheed L-1011-1/100/200,10881519.0
1994,McDonnell Douglas DC9 Super 80/MD81/82/83/88,83503676.0
1994,Boeing 737-300,82593405.0
1994,Boeing 727-200/231A,60739609.0
1994,Boeing 737-100/200,51036182.0
1994,Boeing 757-200,50974745.0
1994,McDonnell Douglas DC-9-30,32038520.0
1994,Boeing 737-500,18249605.0
1994,Fokker 100,14023674.0
1994,Boeing 737-400,13794167.0
1994,Airbus Industrie A320-100/200,13438598.0
1995,Boeing 737-300,91133897.0
1995,McDonnell Douglas DC9 Super 80/MD81/82/83/88,89869184.0
1995,Boeing 727-200/231A,59844847.0
1995,Boeing 757-200,58134156.0
1995,Boeing 737-100/200,50404601.0
1995,McDonnell Douglas DC-9-30,30488347.0
1995,Boeing 737-500,20116703.0
1995,Airbus Industrie A320-100/200,14926262.0
1995,Fokker 100,14463960.0
1995,Boeing 737-400,13542970.0
1996,Boeing 737-300,96300739.0
1996,McDonnell Douglas DC9 Super 80/MD81/82/83/88,92882953.0
1996,Boeing 757-200,63814546.0
1996,Boeing 727-200/231A,60720292.0
1996,Boeing 737-100/200,49255626.0
1996,McDonnell Douglas DC-9-30,32633573.0
1996,Boeing 737-500,19351706.0
1996,Airbus Industrie A320-100/200,15309186.0
1996,Boeing 737-400,14816167.0
1996,Fokker 100,14747825.0
1997,Boeing 737-300,101348333.0
1997,McDonnell Douglas DC9 Super 80/MD81/82/83/88,94953740.0
1997,Boeing 757-200,65930630.0
1997,Boeing 727-200/231A,60066292.0
1997,Boeing 737-100/200,44115543.0
1997,McDonnell Douglas DC-9-30,27819887.0
1997,Boeing 737-500,21527869.0
1997,Airbus Industrie A320-100/200,17489675.0
1997,Boeing 737-400,15871490.0
1997,Fokker 100,14657233.0
1998,Boeing 737-300,114407141.0
1998,McDonnell Douglas DC9 Super 80/MD81/82/83/88,93808449.0
1998,Boeing 757-200,72198700.0
1998,Boeing 727-200/231A,54545658.0
1998,Boeing 737-100/200,40458719.0
1998,McDonnell Douglas DC-9-30,29786649.0
1998,Boeing 737-500,22200263.0
1998,Airbus Industrie A320-100/200,20229949.0
1998,Boeing 737-400,15291592.0
1998,Boeing 767-300/300ER,14164892.0
1999,Boeing 737-300,122351524.0
1999,McDonnell Douglas DC9 Super 80/MD81/82/83/88,93978136.0
1999,Boeing 757-200,80049234.0
1999,Boeing 727-200/231A,44286113.0
1999,Boeing 737-100/200,35998955.0
1999,Airbus Industrie A320-100/200,26438588.0
1999,McDonnell Douglas DC-9-30,25151625.0
1999,Boeing 737-500,21676700.0
1999,Boeing 767-300/300ER,18293721.0
1999,Boeing 737-400,15395886.0
