Code,Description,pax_1990,pax_1991,pax_1992,pax_1993,pax_1994,pax_1995,pax_1996,pax_1997,pax_1998,pax_1999,pax_2000,pax_2001,pax_2002,pax_2003,pax_2004,pax_2005,pax_2006,pax_2007,pax_2008,pax_2009,pax_2010,pax_2011,pax_2012,pax_2013,pax_2014,pax_2015,pax_2016,pax_2017,pax_2018,pax_2019,pax_2020,pax_2021,pax_2022
7,Aero Commander 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Aero Macchi AL-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aeronca 7-AC,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,,,,110.0,142.0,94.0,189.0,748.0,956.0,885.0,639.0,642.0,621.0,717.0,933.0,943.0,517.0,640.0,571.0,487.0,511.0,134.0,22.0,
20,Bellanca CH-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Beech B-23 Musketeer,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,
26,Gipps Aero Ga8 Airvan,,,,,,,,,,,,,,,,,,,,,,,,,3492.0,8537.0,9716.0,18292.0,21767.0,20767.0,11771.0,13874.0,22466.0
29,Cessna 150/152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cessna 180,,,,,,,,,,,,,451.0,1384.0,987.0,1064.0,1294.0,682.0,587.0,722.0,1075.0,1010.0,1126.0,314.0,713.0,226.0,79.0,51.0,32.0,25.0,14.0,18.0,34.0
31,Cessna 180A/B,,,,,,,,,,,,,,,,,,,6.0,,,,4.0,9.0,,1.0,100.0,49.0,110.0,,,,
32,Cessna 180C/D/E/F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cessna 185A/B/C Skywagon,,,,,,,,,,,,,1396.0,2265.0,2092.0,2471.0,1681.0,779.0,199.0,151.0,103.0,688.0,401.0,905.0,491.0,254.0,387.0,906.0,1355.0,579.0,13.0,191.0,326.0
34,Helio H-250/295/395,,,,,,,,,,,,,73.0,427.0,219.0,148.0,160.0,214.0,173.0,174.0,145.0,158.0,199.0,176.0,196.0,56.0,34.0,75.0,60.0,38.0,41.0,43.0,90.0
35,Cessna C206/207/209/210 Stationair,,389.0,944.0,,42.0,85.0,1.0,39.0,0.0,20.0,20.0,,180067.0,197006.0,228934.0,249266.0,247104.0,258978.0,250586.0,247783.0,265961.0,265733.0,233333.0,220093.0,244748.0,212341.0,188237.0,137040.0,139892.0,138307.0,50012.0,73689.0,82363.0
36,Cessna 172 Skyhawk,,,,,,,,,,,,,8308.0,10667.0,11259.0,10533.0,1292.0,3985.0,425.0,316.0,240.0,199.0,205.0,92.0,54.0,1401.0,6328.0,842.0,3234.0,1815.0,1893.0,1968.0,2444.0
37,Cessna 195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
