Code,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
715,Boeing 727-200/231A,94272153,81248455,77838421,68608559,60739609,59844847,60720292,60066292,54545658,44286113
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,59948179,65892234,75750093,77372833,83503676,89869184,92882953,94953740,93808449,93978136
619,Boeing 737-300,56432274,58666232,58827415,65563568,82593405,91133897,96300739,101348333,114407141,122351524
620,Boeing 737-100/200,50398565,48136649,46099426,44774686,51036182,50404601,49255626,44115543,40458719,35998955
640,McDonnell Douglas DC-9-30,38933219,31338382,26379830,24180508,32038520,30488347,32633573,27819887,29786649,25151625
622,Boeing 757-200,25258696,30293980,36131411,44140992,50974745,58134156,63814546,65930630,72198700,80049234
730,McDonnell Douglas DC-10-10,19337292,18779034,18806161,15733510,10464397,9038514,8370886,8532892,5699296,3004691
760,Lockheed L-1011-1/100/200,11139255,10157578,12040859,10881519,10378439,10821895,9198084,7251664,6262545,4156967
710,Boeing 727-100,10262572,7069830,4014303,1934545,22,127,1589,9657,21672,54798
650,McDonnell Douglas DC-9-50,9986159,7359075,7379667,7130519,10420535,10616196,9989218,10298870,10258752,9648207
625,Boeing 767-200/ER/EM,8460903,7004735,7002928,6845163,6444765,7390402,7548984,6809745,7370685,7439046
617,Boeing 737-400,5996722,8506964,9645313,11529530,13794167,13542970,14816167,15871490,15291592,15395886
690,Airbus Industrie A300B/C/F-100/200,5296795,4301964,3803155,3784997,1516657,628103,824939,55317,,
602,Fokker F28-4000/6000 Fellowship,4983697,2617158,2390750,2283836,2825854,2676096,1860521,1853643,2179973,2058573
630,McDonnell Douglas DC-9-10,4712082,3825144,3185343,2791662,3076091,2898894,2732309,5774125,1518320,1294067
621,Boeing 737-200C,4183816,4344816,4015859,3180433,3630993,4055992,3727616,2526155,1651531,2034909
626,Boeing 767-300/300ER,4072991,5257808,5689179,6481007,7751326,8670978,9829198,10871484,14164892,18293721
860,McDonnell Douglas DC-8-71,3243508,1203119,0,0,0,0,,0,0,0
867,British Aerospace BAe-146-200,3181764,1339048,619076,393144,109368,783254,742140,16005,,
733,McDonnell Douglas DC-10-40,3018169,2995378,2993396,3072143,2894217,3030176,3087644,2419288,2871313,3834070
816,Boeing 747-100,2993052,2634150,2598427,2969501,2266659,2831054,2051918,1890151,1699946,155020
732,McDonnell Douglas DC-10-30,2123883,1894620,2328483,2927024,2595973,2660998,2900540,2838228,2950122,2394252
603,Fokker 100,1811327,3010662,6351229,9474082,14023674,14463960,14747825,14657233,13727264,13155469
693,Airbus Industrie A310-300,1574669,121265,180759,210832,117104,,,,,
616,Boeing 737-500,1416259,4927516,10444046,13720947,18249605,20116703,19351706,21527869,22200263,21676700
691,Airbus Industrie A300-600/R/CF/RCF,1250511,2688646,3410409,3632645,4185544,3903244,3076689,2575619,2310381,2407184
868,British Aerospace BAe-146-300,1224645,1243872,1418951,1478399,1692298,1821290,2024537,2487624,2614053,2445108
483,De Havilland DHC8-100 Dash-8,1185475,1360488,1492919,1439240,1511196,1495496,2271647,2751372,2312787,2400695
817,Boeing 747-200/300,1171568,1009720,410009,359811,230096,407431,643740,407564,1259347,1321421
450,Fokker Friendship F-27/Fairchild F-27/A/B/F/J,1054557,718336,318837,181996,,,,,,
467,Swearingen Metro III,1035461,1084987,971101,946928,646993,451025,272468,6869,0,
694,Airbus Industrie A320-100/200,1013040,3069473,6352634,8989030,13438598,14926262,15309186,17489675,20229949,26438588
635,McDonnell Douglas DC-9-15F,983209,165735,1538,639,1286,133173,0,0,0,0
461,Embraer EMB-120 Brasilia,758455,1173916,937893,1595435,3850520,4201918,3642775,3260517,2753249,2960594
866,British Aerospace BAe-146-100/RJ70,676781,69380,,3850,123372,20011,,,,
570,De Havilland DHC7 Dash-7,608533,398784,379111,382425,,,,,,
469,British Aerospace Jetstream 31,527532,1683712,1486479,1290932,890696,852336,1069099,1108354,1053279,223334
645,McDonnell Douglas DC-9-40,400474,594848,1683563,1652081,1850576,1758861,1837067,1663568,2027647,1745434
464,Embraer EMB-110 Bandeirante,258259,558,,113133,149062,,,,,
489,Shorts 360,240782,298316,705864,611473,810360,660034,265165,,,
408,British Aerospace BAe-ATP,227153,630420,810011,641336,655964,638924,685865,712632,614920,20244
441,Aerospatiale/Aeritalia ATR-42,196844,873115,2103245,2107814,4242402,4392393,4605652,4546850,4357328,3424911
692,Airbus Industrie A310-200C/F,167733,121514,185903,187174,0,,,,4688,
412,Casa/Nurtanio C212 Aviocar,147293,156609,120040,270,,,,,,
430,Convair CV-580,145712,,227,,,,,95,,0
819,Boeing 747-400,135416,281769,243255,306141,254811,163771,194036,354746,1378083,885558
765,Lockheed L-1011-500 Tristar,130991,208379,237792,442214,1149049,1181014,1954226,2899655,2320984,1568863
